bus,bus_name,v_nom,parent,parent_name,x_to_parent,runner_up,runner_up_name,x_to_runner_up,attachments,margin
68408,W_BALLYMAR_P,0.4,5441,WATERFORD,3.35264,,,,1,
35221,LOUT,10.5,star:3522-3521-35221-1,star point,0.007499999999999993,,,,1,
75562,COOL6Q,22.0,star:75511-75520-75562-1,star point,0.1523,,,,1,
90361,TAMNAMORE,22.0,star:90310-90320-90361-1,star point,0.15925,,,,1,
23902,KILLHILL,33.0,2391,KILL HILL,0.355,,,,1,
67069,W_KILLHILL_P,0.69,2391,KILL HILL,0.44099999999999995,,,,1,
12503,BOOLY1WF 20,20.0,1251,BOOLTIAGH,0.7257,,,,1,
12504,BOOLT 2 38,38.0,1251,BOOLTIAGH,0.338,,,,1,
12512,CAHERMURWF 2,20.0,1251,BOOLTIAGH,1.4675,,,,1,
12522,KILTUMPERWF,20.0,1251,BOOLTIAGH,1.2268999999999999,,,,1,
12532,GLENMORE 20,20.0,1251,BOOLTIAGH,1.0038,,,,1,
12534,BOOLY1WF 38,38.0,1251,BOOLTIAGH,0.5038,,,,1,
12574,W_LISSYCASEY,0.69,1251,BOOLTIAGH,1.4558,,,,1,
12582,BOOLT 1 20,20.0,1251,BOOLTIAGH,1.0038,,,,1,
12592,LISSYWF 20,20.0,1251,BOOLTIAGH,1.0058,,,,1,
67030,W_BOOLYNAG_P,0.69,1251,BOOLTIAGH,0.9157,,,,1,
68148,W_CAHERMUR_P,0.69,1251,BOOLTIAGH,2.3655,,,,1,
68267,W_KILTUMPER,0.66,1251,BOOLTIAGH,2.2559,,,,1,
25602,BULLSTOWN,20.0,2571,FIN_RURAL,1.2334800000000001,,,,1,
25604,FINGLAS,38.0,2571,FIN_RURAL,0.29818,,,,1,
25605,FINGLAS,38.0,2571,FIN_RURAL,0.29828,,,,1,
25614,ASHBOURNE,38.0,2571,FIN_RURAL,0.57348,,,,1,
18814,CHARLEVILLE,38.0,1881,CHARLEVILLE,0.338,,,,1,
18824,CHARLEVILLE,38.0,1881,CHARLEVILLE,0.4176,,,,1,
67031,W_CASTLEPO_P,38.0,1881,CHARLEVILLE,0.45720000000000005,,,,1,
68224,W_KNOCKNATAL,38.0,1881,CHARLEVILLE,0.46540000000000004,,,,1,
15504,BOGGERAGH,38.0,1551,BOGGERAGH,0.355,,,,1,
15514,ESK,38.0,1551,BOGGERAGH,0.5722,,,,1,
15522,ESK 20,20.0,1551,BOGGERAGH,1.545,,,,1,
15534,CARRIGCANNON,38.0,1551,BOGGERAGH,0.3832,,,,1,
15542,CARRIGCANNON,20.0,1551,BOGGERAGH,0.7832,,,,1,
15571,W_ESK,0.69,1551,BOGGERAGH,2.343,,,,1,
15573,W_CARRIGCA,0.4,1551,BOGGERAGH,1.0211999999999999,,,,1,
80700,WIND_SHA,33.0,80710,GORT,0.2771,,,,1,
80701,WIND_CRO,33.0,80710,GORT,0.4531,,,,1,
80702,WIND_TEI,33.0,80710,GORT,0.9071,,,,1,
80730,GORT,33.0,80710,GORT,0.2461,,,,1,
80790,RENEW_GO,33.0,80710,GORT,0.2462,,,,1,
80795,WIND DIV,33.0,80710,GORT,0.7761,,,,1,
80797,WIND_DIV2,33.0,80710,GORT,0.3561,,,,1,
80798,WIND_ALM,33.0,80710,GORT,0.3461,,,,1,
77530,DUNG3-,33.0,77511,DUNG1-,0.2566,,,,1,
77531,TULY3-,33.0,77511,DUNG1-,0.3766,,,,1,
77590,PV_RENEW_DU,33.0,77511,DUNG1-,0.2567,,,,1,
77591,WIND_CRO,33.0,77511,DUNG1-,0.7052,,,,1,
16601,KILTIMAGH,10.0,1661,CASTLEBAR,1.884,,,,1,
