name,bus0,bus1,x,r,s_nom,tap_ratio,phase_shift,sub_network,s_nom_source,psse_ckt
T3462-3461-34621-1-w1,star:3462-3461-34621-1,3462,0.1265,-0.002125,250.0,1.0,-0.0,0,RATE1,1
T3462-3461-34621-1-w2,star:3462-3461-34621-1,3461,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3462-3461-34622-2-w1,star:3462-3461-34622-2,3462,0.1265,-0.002125,250.0,1.0,-0.0,0,RATE1,2
T3462-3461-34622-2-w2,star:3462-3461-34622-2,3461,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T3472-3471-34721-1-w1,star:3472-3471-34721-1,3472,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,1
T3472-3471-34721-1-w2,star:3472-3471-34721-1,3471,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3472-3471-34722-2-w1,star:3472-3471-34722-2,3472,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,2
T3472-3471-34722-2-w2,star:3472-3471-34722-2,3471,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T3472-3471-34723-3-w1,star:3472-3471-34723-3,3472,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,3
T3472-3471-34723-3-w2,star:3472-3471-34723-3,3471,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,3
T3472-3471-34724-4-w1,star:3472-3471-34724-4,3472,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,4
T3472-3471-34724-4-w2,star:3472-3471-34724-4,3471,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,4
T3522-3521-35221-1-w1,star:3522-3521-35221-1,3522,0.15075,0.0011874999999999998,125.0,1.0341261633919339,-0.0,0,RATE1,1
T3522-3521-35221-1-w2,star:3522-3521-35221-1,3521,0.12487499999999997,0.012487500000000002,999.0,1.0,-0.0,0,RATE1,1
T3522-3521-35223-3-w1,star:3522-3521-35223-3,3522,0.14987500000000004,0.0013124999999999996,125.0,1.0341261633919339,-0.0,0,RATE1,3
T3522-3521-35223-3-w2,star:3522-3521-35223-3,3521,0.12487499999999983,0.0124875,999.0,1.0,-0.0,0,RATE1,3
T3522-35211-35222-2-w1,star:3522-35211-35222-2,3522,0.14987500000000004,0.0011874999999999998,125.0,1.0341261633919339,-0.0,0,RATE1,2
T3522-35211-35222-2-w2,star:3522-35211-35222-2,35211,0.12487499999999983,0.012487500000000002,999.0,1.0,-0.0,0,RATE1,2
T3522-35211-35224-4-w1,star:3522-35211-35224-4,3522,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,4
T3522-35211-35224-4-w2,star:3522-35211-35224-4,35211,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,4
T3522-35231-35236-1-w1,star:3522-35231-35236-1,3522,0.052500000000000005,-0.00135,300.0,1.0,-0.0,0,RATE1,1
T3522-35231-35236-1-w2,star:3522-35231-35236-1,35231,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3522-35231-35238-3-w1,star:3522-35231-35238-3,3522,0.05339999999999999,-0.00135,300.0,1.0,-0.0,0,RATE1,3
T3522-35231-35238-3-w2,star:3522-35231-35238-3,35231,0.12487499999999999,0.0124875,999.0,1.0,-0.0,0,RATE1,3
T3522-35232-35237-2-w1,star:3522-35232-35237-2,3522,0.015000000000000003,-0.0027,600.0,1.0,-0.0,0,RATE1,2
T3522-35232-35237-2-w2,star:3522-35232-35237-2,35232,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T3642-3641-36421-1-w1,star:3642-3641-36421-1,3642,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,1
T3642-3641-36421-1-w2,star:3642-3641-36421-1,3641,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3842-3851-38423-3-w1,star:3842-3851-38423-3,3842,0.14987500000000004,0.0010625,125.0,1.0,-0.0,0,RATE1,3
T3842-3851-38423-3-w2,star:3842-3851-38423-3,3851,0.12487499999999983,0.012487499999999999,999.0,1.0,-0.0,0,RATE1,3
T3842-3851-38424-4-w1,star:3842-3851-38424-4,3842,0.12875,-0.000625,250.0,1.0146103896103895,-0.0,0,RATE1,4
T3842-3851-38424-4-w2,star:3842-3851-38424-4,3851,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,4
T3852-3841-38421-1-w1,star:3852-3841-38421-1,3852,0.15175,0.0010625,125.0,1.0,-0.0,0,RATE1,1
T3852-3841-38421-1-w2,star:3852-3841-38421-1,3841,0.12487499999999997,0.012487499999999999,999.0,1.0,-0.0,0,RATE1,1
T3852-3841-38422-2-w1,star:3852-3841-38422-2,3852,0.12256999999999998,-0.0005949999999999999,238.0,1.0,-0.0,0,RATE1,2
T3852-3841-38422-2-w2,star:3852-3841-38422-2,3841,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T3934-3942-39402-1-w1,star:3934-3942-39402-1,3934,0.07250000000000001,-0.00475,500.0,1.0,-0.0,0,RATE1,1
T3934-3942-39402-1-w2,star:3934-3942-39402-1,3942,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3940-3941-39423-1-w1,star:3940-3941-39423-1,3940,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,1
T3940-3941-39423-1-w2,star:3940-3941-39423-1,3941,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
