osm,name,names,keys,power,operator,voltage_kv,max_kv,lat,lon
way/1453285504,Lunderstown Green Energy Grass to Gas,Lunderstown Green Energy Grass to Gas,LUNDERSTOWN GREEN ENERGY GRASS TO GAS,plant,Lunderstown Green Energy / Carbon AMS,,,53.6310427,-6.4210386
relation/15061772,Lurganboy Wind Farm,Lurganboy Wind Farm,LURGANBOY WIND FARM,plant,,,,55.1160797,-7.6155723
way/1432108929,Lurrig Solar Farm,Lurrig Solar Farm | Crocane Solar Farm,LURRIG SOLAR FARM | CROCANE SOLAR FARM,plant,IQ Solar Limited,,,51.842935,-8.1589254
way/1432108930,Lurrig Solar Farm Substation,Lurrig Solar Farm Substation,LURRIG SOLAR FARM,substation,ESB Networks,10,10.0,51.8432624,-8.1567843
way/561536810,Lussa Power Station,Lussa Power Station,LUSSA,plant,,,,55.476138,-5.5845326
relation/16383974,Lysaghtstown Solar Farm,Lysaghtstown Solar Farm,LYSAGHTSTOWN SOLAR FARM,plant,Voltalia,,,51.935749,-8.2307526
way/1423994120,MAIN SUB,MAIN SUB | MVN-1,MAIN SUB | MVN 1,substation,,10,10.0,52.6803697,-8.5767368
node/12745510100,MCDONALDS,MCDONALDS | 127 4096,MCDONALDS | 127 4096,substation,ESB Networks,10;0.4;0.23,10.0,52.5090458,-7.8742366
way/1436546067,MVP-1,MVP-1,MVP 1,substation,ESB Networks,10,10.0,52.6735236,-8.5700637
way/1436546068,MVP-5,MVP-5,MVP 5,substation,ESB Networks,10,10.0,52.6734253,-8.572201
way/1311893515,Macallian Solar Farm,Macallian Solar Farm,MACALLIAN SOLAR FARM,plant,NTR,,,52.5398436,-6.519648
way/626253274,Mace Upper 38kV Substation,Mace Upper 38kV Substation,MACE UPPER,substation,ESB Networks,38,38.0,53.7705163,-8.970576
relation/15261206,Mace Upper Wind Farm,Mace Upper Wind Farm,MACE UPPER WIND FARM,plant,Mace Upper Windfarm Limited,,,53.7736014,-8.9708692
way/374960358,Macetown 110kV Substation,Macetown 110kV Substation,MACETOWN,substation,EirGrid,110,110.0,53.4142091,-6.4151251
way/235602041,Macroom 110kV Substation,Macroom 110kV Substation,MACROOM,substation,EirGrid,110;38;20,110.0,51.8957884,-8.8921962
way/1037301804,Maghaberry 33 kV Substation,Maghaberry 33 kV Substation,MAGHABERRY,substation,NIE Networks,33,33.0,54.5123827,-6.1731165
way/681706875,Maghaberry Solar Farm,Maghaberry Solar Farm | Maghaberry Airfield,MAGHABERRY SOLAR FARM | MAGHABERRY AIRFIELD,plant,,,,54.513208,-6.1761405
relation/14352924,Maghanknockane Wind Farm,Maghanknockane Wind Farm,MAGHANKNOCKANE WIND FARM,plant,Invis Energy,,,52.3213923,-9.5746271
way/1017857953,Maghera 33 kV Substation,Maghera 33 kV Substation,MAGHERA,substation,NIE Networks,33,33.0,54.8493782,-6.6756534
way/230134599,Magherafelt 275 kV Substation,Magherafelt 275 kV Substation,MAGHERAFELT,substation,NIE Networks,275,275.0,54.73025,-6.6158563
way/286564636,Magherakeel 110kV Substation,Magherakeel 110kV Substation,MAGHERAKEEL,substation,NIE Networks,110;33,110.0,54.6538743,-7.7313502
way/807370170,Magheramore 38 kV Substation,Magheramore 38 kV Substation,MAGHERAMORE,substation,ESB Networks,38;33,38.0,53.7446932,-8.933143
relation/15016233,Magheramore Wind Farm,Magheramore Wind Farm | MCB Wind Farm,MAGHERAMORE WIND FARM | MCB WIND FARM,plant,Invis Energy,,,53.7661821,-8.9000443
way/1485391342,Magilligan Central 33 kV Substation,Magilligan Central 33 kV Substation,MAGILLIGAN CENTRAL,substation,NIE Networks,33,33.0,55.1745816,-6.9440067
way/50257019,Main Electricity Substation,Main Electricity Substation,MAIN,substation,ESB Networks,,,53.3384595,-6.1990647
way/377851932,Malahide 38kV Substation,Malahide 38kV Substation,MALAHIDE,substation,ESB Networks,38,38.0,53.4418091,-6.1570908
way/444968433,Malahide DART Substation,Malahide DART Substation,MALAHIDE DART,substation,Irish Rail,38,38.0,53.4417912,-6.1567201
way/129111454,Mallow 110kV Substation,Mallow 110kV Substation,MALLOW,substation,EirGrid,110;38;10,110.0,52.1431365,-8.6206886
