name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
62004-62014-1,62004,62014,1.462772,0.511176,0.0001038781163434903,44.0,4.8,AC,0,RATE1,1
62014-68290-1,62014,68290,3.078608,2.6699560000000004,2.770083102493075e-05,30.0,8.1,AC,0,RATE1,1
67144-68144-1,67144,68144,0.001444,0.0,0.0,999.0,0.0,AC,0,RATE1,1
68313-68314-1,68313,68314,0.0004,0.0,0.0,18.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
69182-69183-1,69182,69183,0.00013225000000000002,0.0,0.0,999.0,0.0,AC,0,RATE1,1
70010-79010-1,70010,79010,11.45628,4.777080000000001,0.0001571900826446281,124.0,31.1,AC,0,RATE1,1
70030-70031-1,70030,70031,1.049796,0.47491289999999997,0.00015610651974288337,30.0,0.0,AC,0,RATE1,1
70030-70031-2,70030,70031,1.049796,0.47491289999999997,0.00015610651974288337,30.0,0.0,AC,0,RATE1,2
70030-70032-1,70030,70032,1.049796,0.47491289999999997,0.00015610651974288337,30.0,0.0,AC,0,RATE1,1
70030-70032-2,70030,70032,1.049796,0.47491289999999997,0.00015610651974288337,30.0,0.0,AC,0,RATE1,2
70030-70090-1,70030,70090,0.001089,0.0,0.0,120.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
70032-70033-1,70032,70033,0.001089,0.0,0.0,120.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
70032-79080-1,70032,79080,8.205723899999999,3.2822459999999993,8.907254361799817e-05,30.0,0.0,AC,0,RATE1,1
70032-79081-1,70032,79081,6.380450999999999,2.5521804,6.887052341597796e-05,30.0,0.0,AC,0,RATE1,1
70080-70090-1,70080,70090,0.8680419,0.6670124999999999,9.641873278236914e-05,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
70080-70091-1,70080,70091,0.878823,0.4829715,1.652892561983471e-05,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
70090-70093-1,70090,70093,1.0617750000000001,0.4250367,1.1937557392102845e-05,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
70090-70094-1,70090,70094,0.8886240000000001,0.3559941,1.0101010101010101e-05,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
70090-70095-1,70090,70095,0.78408,0.652311,0.0004866850321395776,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
70311-81510-1,70311,81510,3.62274,1.40602,2.5041322314049585e-05,103.0,8.93,AC,0,RATE1,1
70312-81510-2,70312,81510,3.62274,1.40602,2.5041322314049585e-05,103.0,8.93,AC,0,RATE1,2
70330-70390-1,70330,70390,0.001089,0.0,0.0,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
70390-70394-1,70390,70394,0.365904,0.303831,0.00022773186409550045,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
70510-72010-1,70510,72010,7.0422,2.7333899999999995,4.867768595041323e-05,103.0,17.3,AC,0,RATE1,1
70510-72010-2,70510,72010,7.0422,2.7333899999999995,4.867768595041323e-05,103.0,17.3,AC,0,RATE1,2
70510-78511-1,70510,78511,6.48681,2.76243,4.0247933884297526e-05,166.0,0.0,AC,0,RATE1,1
70510-78512-2,70510,78512,6.40211,2.74791,4.049586776859504e-05,166.0,0.0,AC,0,RATE1,2
70520-81020-2,70520,81020,14.467062500000003,1.54275,0.00015083636363636365,881.0,45.5,AC,0,RATE1,2
70520-81520-1,70520,81520,10.9278125,1.1721875,0.00011754049586776859,881.0,34.5,AC,0,RATE1,1
70520-85020-1,70520,85020,20.743937499999998,2.223375,0.00022315371900826444,881.0,65.5,AC,0,RATE1,1
70520-86220-1,70520,86220,0.257125,0.030250000000000003,2.657851239669422e-06,881.0,0.8,AC,0,RATE1,1
71011-81510-1,71011,81510,4.180549999999999,1.58026,2.7438016528925622e-05,124.0,10.0,AC,0,RATE1,1
71012-81510-2,71012,81510,4.80733,1.8174200000000003,3.148760330578512e-05,124.0,11.5,AC,0,RATE1,2
71031-71090-1,71031,71090,0.001089,0.0,0.0,429.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
